Field Description,UPP INITPOST Name,Model Output Name,Dimensions,Notes,,,,,,,,,,,,,,,,,,,,,,,
10 m v-wind component,v10,vgrd10m,2d,,,,,,,,,,,,,,,,,,,,,,,,
vegetation type,ivgtyp,vtype,2d,,,,,,,,,,,,,,,,,,,,,,,,
soil type,isltyp,sotyp,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous convective cloud top pressure,ptop,prescnvclt,2d,,,,,,,,,,,,,,,,,,,,,,,,
instantaneous convective cloud bottom pressure,pbot,prescnvclb,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged low cloud top pressure,ptopl,pres_avelct,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged low cloud bottom pressure,pbotl,pres_avelcb,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged low cloud top temperature,Ttopl,tmp_avelct,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged middle cloud top pressure,ptopm,pres_avemct,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged middle cloud bottom pressure,pbotm,pres_avemcb,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged middle cloud top temperature,Ttopm,tmp_avemct,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged high cloud top pressure,ptoph,pres_avehct,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged high cloud bottom pressure,pboth,pres_avehcb,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged high cloud top temperature,Ttoph,tmp_avehct,2d,,,,,,,,,,,,,,,,,,,,,,,,
boundary layer cloud cover,pblcfr,tcdc_avebndcl,2d,,,,,,,,,,,,,,,,,,,,,,,,
cloud work function,cldwork,cwork_aveclm,2d,,,,,,,,,,,,,,,,,,,,,,,,
accumulated total (base+surface) runoff,runoff,watr_acc,2d,,,,,,,,,,,,,,,,,,,,,,,,
total water storage in aquifer,twa,wa_acc,2d,,,,,,,,,,,,,,,,,,,,,,,,
accumulated evaporation of intercepted water,tecan,ecan_acc,2d,,,,,,,,,,,,,,,,,,,,,,,,
accumulated plant transpiration,tetran,etran_acc,2d,,,,,,,,,,,,,,,,,,,,,,,,
accumulated soil surface evaporation,tedir,edir_acc,2d,,,,,,,,,,,,,,,,,,,,,,,,
shelter max temperature,maxtshltr,t02max,2d,,,,,,,,,,,,,,,,,,,,,,,,
shelter min temperature,mintshltr,t02min,2d,,,,,,,,,,,,,,,,,,,,,,,,
shelter max rh,maxrhshltr,rh02max,2d,,,,,,,,,,,,,,,,,,,,,,,,
shlter min rh,minrhshltr,rh02min,2d,,,,,,,,,,,,,,,,,,,,,,,,
shelter max specific humidity,maxqshltr,spfhmax_max2m,2d,,,,,,,,,,,,,,,,,,,,,,,,
shelter min specific humidity,minqshltr,spfhmin_min2m,2d,,,,,,,,,,,,,,,,,,,,,,,,
ice thickness,dzice,icetk,2d,,,,,,,,,,,,,,,,,,,,,,,,
wilting point,smcwlt,wilt,2d,,,,,,,,,,,,,,,,,,,,,,,,
sunshine duration,suntime,sunsd_acc,2d,,,,,,,,,,,,,,,,,,,,,,,,
field capacity,fieldcapa,fldcp,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface visible beam downward solar flux,avisbeamswin,vbdsf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface visible diffuse downward solar flux,avisdiffswin,vddsf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface near ir beam downward solar flux,airbeamswin,nbdsf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface near ir diffuse downward solar flux,airdiffswin,nddsf_ave,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface clear sky outgoing lw,alwoutc,csulf,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged toa clear sky outgoing lw,alwtoac,csulftoa,2d,,,,,,,,,,,,,,,,,,,,,,,,
time averaged surface clear sky outgoing sw,aswoutc,csusf,2d,,,,,,,,,,,,,,,,,,,,,,,,
